index,station name,station latitude,station longitude
340,Cooper Square & Astor Pl,40.72951496224949,-73.99075269699097
341,Court St & Nelson St,40.6763947,-73.99869893
342,Court St & State St,40.6902375,-73.99203074
343,Courtlandt Ave & E 149 St,40.816402,-73.919549
344,Crescent St & 30 Ave,40.768692,-73.9249574
345,Crescent St & 34 Ave,40.76108,-73.930562
346,Crescent St & 35 Ave,40.7596276,-73.9321455
347,Crescent St & Broadway,40.7633589,-73.9286471
348,Crescent St & Ditmars Blvd,40.7787185,-73.9145645
349,Crown St & Bedford Ave,40.666563,-73.956741
350,Cumberland St & Lafayette Ave,40.68753406,-73.97265183
351,Cypress Ave & George St,40.69812,-73.90271
352,Cypress Ave & Palmetto St,40.70157340873792,-73.90876293182373
353,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037
354,DeKalb Ave & Hudson Ave,40.689888,-73.981013
355,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121
356,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458
357,Dean St & 4 Ave,40.68312489,-73.97895137
358,Dean St & Franklin Ave,40.67759206937376,-73.955637216568
359,Dean St & Hoyt St,40.6864442,-73.98759104
360,Degraw St & Hoyt St,40.68199044270703,-73.99079024791718
361,Degraw St & Smith St,40.6829151,-73.99318208
362,Delancey St & Eldridge St,40.719383,-73.991479
363,Devoe St & Lorimer St,40.71335226222875,-73.9491033554077
364,Devoe St & Morgan Ave,40.713811,-73.93515
365,Ditmars Blvd & 19 St,40.78145,-73.9183302
366,Division Av & Hooper St,40.70684203101325,-73.9544353965357
367,Division Ave & Hooper St,40.70684203101325,-73.9544353965357
368,Division Ave & Marcy Ave,40.70708701,-73.95796783
369,Division St & Bowery,40.71413089,-73.9970468
370,Division St & Bowery,40.714193,-73.996732
371,Dock 72 Way & Market St,40.69985,-73.97141
372,Douglass St & 3 Ave,40.6802133,-73.98432695
373,Douglass St & 4 Ave,40.6792788,-73.98154004
374,Driggs Ave & Lorimer St,40.72179134,-73.9504154
375,Driggs Ave & N 9 St,40.71816969454208,-73.95520135760307
376,Driggs Ave & N Henry St,40.72325,-73.94308
377,Duane St & Greenwich St,40.71748752,-74.0104554
378,Duffield St & Willoughby St,40.69221589,-73.9842844
379,Dwight St & Van Dyke St,40.67363551341504,-74.01195555925369
380,E 10 St & 5 Ave,40.73331967,-73.99510132
381,E 10 St & Avenue A,40.72740794,-73.98142006
382,E 102 St & 1 Ave,40.7869946,-73.94164802
383,E 102 St & Park Ave,40.7904828,-73.95033068
384,E 103 St & Lexington Ave,40.7903051,-73.94755757
385,E 106 St & 1 Ave,40.7892529,-73.93956237
386,E 106 St & Lexington Ave,40.791976,-73.945993
387,E 106 St & Madison Ave,40.7934337,-73.94945003
388,E 109 St & 3 Ave,40.79329668,-73.9432083
389,E 11 St & 1 Ave,40.72953837,-73.98426726
390,E 11 St & 2 Ave,40.73047309,-73.98672378
391,E 11 St & Avenue B,40.72746420692392,-73.97950418293476
392,E 110 St & Madison Ave,40.7961535,-73.94782145
393,E 114 St & 1 Ave,40.7945663,-73.9362541
394,E 115 St & Lexington Ave,40.797911,-73.9423
395,E 115 St & Madison Ave,40.7989445,-73.944846
396,E 116 St & 2 Ave,40.796879,-73.937261
397,E 118 St & 1 Ave,40.79747,-73.93504
398,E 118 St & 3 Ave,40.799139,-73.9389152
399,E 118 St & Madison Ave,40.8014866,-73.9442507
400,E 118 St & Park Ave,40.8005385,-73.9419949
401,E 12 St & 3 Ave,40.73223272,-73.98889957
402,E 12 St & 4 Av,40.73269,-73.98974
403,E 123 St & Lexington Ave,40.8029263,-73.9379
404,E 128 St & 3 Ave,40.805631,-73.934077
405,E 128 St & Madison Ave,40.80756,-73.939182
406,E 13 St & Avenue A,40.72966729392978,-73.98067966103554
407,E 132 St & Madison Ave,40.810224,-73.937195
408,E 133 St & Cypress Pl,40.80262,-73.9174
409,E 134 St & Walnut Ave,40.800425,-73.911034
410,E 135 St & St Ann's Ave,40.805089,-73.918889
411,E 138 St & 5 Av,40.81449,-73.936153
412,E 138 St & Canal St W,40.812304,-73.929153
413,E 138 St & Cypress Ave,40.805559,-73.914718
414,E 138 St & Grand Concourse,40.813224,-73.930605
415,E 138 St & Willow Ave,40.804168,-73.911545
416,E 141 St & Jackson Ave,40.806896,-73.911837
417,E 141 St & St Ann's Ave,40.808633,-73.916124
418,E 142 St & 3 Ave,40.812735,-73.923697
419,E 144 St & Brook Ave,40.811675,-73.917037
420,E 147 St & Bergen Ave,40.814673,-73.91839
421,E 149 St & Eagle Ave,40.814046,-73.91186
422,E 149 St & Jackson Ave,40.813135,-73.909235
423,E 149 St & Morris Ave,40.81734,-73.922962
424,E 15 St & 3 Ave,40.734232,-73.986923
425,E 150 St & Gerard Ave,40.820089,-73.928947
426,E 155 St & Courtlandt Ave,40.82057,-73.917579
427,E 156 & Brook Ave,40.819823,-73.912411
428,E 158 St & Melrose Ave,40.822215,-73.914688
429,E 16 St & 5 Ave,40.73726186,-73.99238967
430,E 16 St & Irving Pl,40.735367055605394,-73.98797392845154
431,E 160 St & Tinton Ave,40.820302,-73.903944
432,E 169 St & Webster Ave,40.834015,-73.908863
433,E 17 St & Broadway,40.73704984,-73.99009296
434,E 19 St & 3 Ave,40.73624527,-73.98473765
435,E 2 St & 2 Ave,40.72502876,-73.99069656
436,E 2 St & Avenue A,40.72307749068673,-73.98583620786667
437,E 2 St & Avenue B,40.72217444,-73.98368779
438,E 2 St & Avenue C,40.7208736,-73.98085795
439,E 20 St & 2 Ave,40.73587678,-73.98205027
440,E 20 St & FDR Drive,40.73314259,-73.97573881
441,E 20 St & Park Ave,40.73827428,-73.98751968
442,E 23 St & 1 Ave,40.736502,-73.97809472
443,E 24 St & Park Ave S,40.74096374,-73.98602213
444,E 25 St & 1 Ave,40.7381765,-73.97738662
445,E 25 St & 2 Ave,40.73912601,-73.97973776
446,E 27 St & 1 Ave,40.739445,-73.976806
447,E 30 St & Park Ave S,40.74444921,-73.98303529
448,E 31 St & 3 Ave,40.74394314,-73.97966069
